TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	19/09/02
TIME	16:04:52
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-570, Rev. 1.00
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	840.0000
LASTX	190.0000
NPOINTS	651
FIRSTY	0.00773
MAXY	1.01313
MINY	0.00763
XYDATA
840.0000	0.00773
839.0000	0.00769
838.0000	0.00763
837.0000	0.00782
836.0000	0.0077
835.0000	0.00772
834.0000	0.00775
833.0000	0.00783
832.0000	0.00783
831.0000	0.00776
830.0000	0.00776
829.0000	0.00782
828.0000	0.0079
827.0000	0.00788
826.0000	0.00779
825.0000	0.0077
824.0000	0.00775
823.0000	0.00775
822.0000	0.00776
821.0000	0.00784
820.0000	0.00793
819.0000	0.008
818.0000	0.00807
817.0000	0.00804
816.0000	0.00792
815.0000	0.00793
814.0000	0.00807
813.0000	0.00808
812.0000	0.00824
811.0000	0.00814
810.0000	0.00817
809.0000	0.00824
808.0000	0.00821
807.0000	0.00819
806.0000	0.0081
805.0000	0.00819
804.0000	0.00834
803.0000	0.00839
802.0000	0.0085
801.0000	0.0085
800.0000	0.00853
799.0000	0.00855
798.0000	0.00856
797.0000	0.00852
796.0000	0.0086
795.0000	0.00865
794.0000	0.0087
793.0000	0.00869
792.0000	0.00875
791.0000	0.00887
790.0000	0.0089
789.0000	0.0089
788.0000	0.00884
787.0000	0.00892
786.0000	0.00909
785.0000	0.00925
784.0000	0.00929
783.0000	0.00919
782.0000	0.00925
781.0000	0.00935
780.0000	0.00936
779.0000	0.00936
778.0000	0.00942
777.0000	0.00953
776.0000	0.00963
775.0000	0.00967
774.0000	0.00977
773.0000	0.00987
772.0000	0.00987
771.0000	0.00993
770.0000	0.00996
769.0000	0.01005
768.0000	0.01017
767.0000	0.01022
766.0000	0.01026
765.0000	0.01029
764.0000	0.01038
763.0000	0.01056
762.0000	0.01073
761.0000	0.01086
760.0000	0.01091
759.0000	0.01097
758.0000	0.01112
757.0000	0.01128
756.0000	0.01141
755.0000	0.0115
754.0000	0.01153
753.0000	0.01163
752.0000	0.01174
751.0000	0.01189
750.0000	0.01207
749.0000	0.01226
748.0000	0.01242
747.0000	0.01258
746.0000	0.01281
745.0000	0.01294
744.0000	0.01316
743.0000	0.01331
742.0000	0.01355
741.0000	0.01373
740.0000	0.01392
739.0000	0.01412
738.0000	0.01438
737.0000	0.01472
736.0000	0.01501
735.0000	0.01531
734.0000	0.01569
733.0000	0.01605
732.0000	0.01642
731.0000	0.01676
730.0000	0.01721
729.0000	0.01772
728.0000	0.01823
727.0000	0.01875
726.0000	0.01931
725.0000	0.01997
724.0000	0.02063
723.0000	0.02146
722.0000	0.0223
721.0000	0.02316
720.0000	0.02411
719.0000	0.02517
718.0000	0.02637
717.0000	0.02767
716.0000	0.02916
715.0000	0.03075
714.0000	0.03251
713.0000	0.03452
712.0000	0.0367
711.0000	0.0392
710.0000	0.04195
709.0000	0.04503
708.0000	0.04851
707.0000	0.05228
706.0000	0.05653
705.0000	0.06131
704.0000	0.06662
703.0000	0.0726
702.0000	0.0793
701.0000	0.08679
700.0000	0.09508
699.0000	0.10431
698.0000	0.11457
697.0000	0.12603
696.0000	0.13869
695.0000	0.15272
694.0000	0.16817
693.0000	0.18522
692.0000	0.20403
691.0000	0.2248
690.0000	0.24762
689.0000	0.27249
688.0000	0.29952
687.0000	0.32873
686.0000	0.36036
685.0000	0.39421
684.0000	0.43012
683.0000	0.46786
682.0000	0.50739
681.0000	0.54839
680.0000	0.59075
679.0000	0.6337
678.0000	0.67656
677.0000	0.71849
676.0000	0.75914
675.0000	0.79821
674.0000	0.835
673.0000	0.86903
672.0000	0.89998
671.0000	0.92744
670.0000	0.95114
669.0000	0.97074
668.0000	0.98647
667.0000	0.99836
666.0000	1.00656
665.0000	1.01138
664.0000	1.01313
663.0000	1.01211
662.0000	1.00881
661.0000	1.00329
660.0000	0.99608
659.0000	0.9873
658.0000	0.97731
657.0000	0.96612
656.0000	0.95383
655.0000	0.94088
654.0000	0.92716
653.0000	0.91277
