TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	19/09/02
TIME	16:41:43
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-570, Rev. 1.00
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	840.0000
LASTX	190.0000
NPOINTS	651
FIRSTY	0.00492
MAXY	0.29847
MINY	0.00421
XYDATA
840.0000	0.00492
839.0000	0.00485
838.0000	0.00474
837.0000	0.00473
836.0000	0.00459
835.0000	0.0045
834.0000	0.00456
833.0000	0.00468
832.0000	0.0046
831.0000	0.00455
830.0000	0.0045
829.0000	0.00452
828.0000	0.0045
827.0000	0.00451
826.0000	0.00444
825.0000	0.00434
824.0000	0.00421
823.0000	0.00423
822.0000	0.00432
821.0000	0.00445
820.0000	0.00444
819.0000	0.00457
818.0000	0.00456
817.0000	0.00452
816.0000	0.0044
815.0000	0.00426
814.0000	0.00436
813.0000	0.00444
812.0000	0.00454
811.0000	0.00444
810.0000	0.00443
809.0000	0.00451
808.0000	0.00452
807.0000	0.00457
806.0000	0.00455
805.0000	0.00456
804.0000	0.00454
803.0000	0.0045
802.0000	0.00457
801.0000	0.00458
800.0000	0.00464
799.0000	0.0045
798.0000	0.00446
797.0000	0.00445
796.0000	0.00457
795.0000	0.00459
794.0000	0.00454
793.0000	0.00462
792.0000	0.00468
791.0000	0.00464
790.0000	0.00454
789.0000	0.00443
788.0000	0.00455
787.0000	0.00465
786.0000	0.00479
785.0000	0.00477
784.0000	0.00475
783.0000	0.0047
782.0000	0.00475
781.0000	0.00473
780.0000	0.00476
779.0000	0.00469
778.0000	0.00474
777.0000	0.00479
776.0000	0.00488
775.0000	0.00484
774.0000	0.00483
773.0000	0.00483
772.0000	0.00483
771.0000	0.00493
770.0000	0.00482
769.0000	0.0048
768.0000	0.00474
767.0000	0.00474
766.0000	0.00476
765.0000	0.00469
764.0000	0.00482
763.0000	0.00482
762.0000	0.0049
761.0000	0.00489
760.0000	0.00489
759.0000	0.0049
758.0000	0.00496
757.0000	0.00495
756.0000	0.0049
755.0000	0.00486
754.0000	0.00488
753.0000	0.00499
752.0000	0.00501
751.0000	0.00505
750.0000	0.00509
749.0000	0.00513
748.0000	0.00514
747.0000	0.00519
746.0000	0.00522
745.0000	0.00525
744.0000	0.00528
743.0000	0.00528
742.0000	0.00533
741.0000	0.00538
740.0000	0.0054
739.0000	0.00532
738.0000	0.0053
737.0000	0.00543
736.0000	0.00557
735.0000	0.00565
734.0000	0.00568
733.0000	0.00574
732.0000	0.00583
731.0000	0.00591
730.0000	0.00605
729.0000	0.00621
728.0000	0.00635
727.0000	0.00648
726.0000	0.00657
725.0000	0.00677
724.0000	0.007
723.0000	0.00732
722.0000	0.00756
721.0000	0.00775
720.0000	0.00799
719.0000	0.00829
718.0000	0.00864
717.0000	0.009
716.0000	0.00944
715.0000	0.00991
714.0000	0.0104
713.0000	0.01096
712.0000	0.01158
711.0000	0.01231
710.0000	0.01309
709.0000	0.01396
708.0000	0.0149
707.0000	0.01595
706.0000	0.0171
705.0000	0.01852
704.0000	0.01999
703.0000	0.02173
702.0000	0.0236
701.0000	0.02573
700.0000	0.02804
699.0000	0.03056
698.0000	0.03336
697.0000	0.03653
696.0000	0.03999
695.0000	0.04383
694.0000	0.04801
693.0000	0.05273
692.0000	0.05794
691.0000	0.06362
690.0000	0.06986
689.0000	0.07669
688.0000	0.08413
687.0000	0.09212
686.0000	0.10077
685.0000	0.1101
684.0000	0.11996
683.0000	0.13034
682.0000	0.14128
681.0000	0.15269
680.0000	0.16444
679.0000	0.17636
678.0000	0.18821
677.0000	0.20001
676.0000	0.21152
675.0000	0.22268
674.0000	0.2333
673.0000	0.24328
672.0000	0.25259
671.0000	0.26106
670.0000	0.26869
669.0000	0.27533
668.0000	0.28112
667.0000	0.28592
666.0000	0.2898
665.0000	0.29294
664.0000	0.29527
663.0000	0.297
662.0000	0.29804
661.0000	0.29847
660.0000	0.29834
659.0000	0.29776
658.0000	0.2967
657.0000	0.29527
656.0000	0.2934
655.0000	0.29124
654.0000	0.2887
653.0000	0.28587
