TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	19/09/03
TIME	10:38:09
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-570, Rev. 1.00
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	840.0000
LASTX	190.0000
NPOINTS	651
FIRSTY	-0.00582
MAXY	0.51664
MINY	-0.01584
XYDATA
840.0000	-0.00582
839.0000	-0.00591
838.0000	-0.00608
837.0000	-0.00612
836.0000	-0.00616
835.0000	-0.00621
834.0000	-0.00627
833.0000	-0.00634
832.0000	-0.00639
831.0000	-0.00652
830.0000	-0.00654
829.0000	-0.00662
828.0000	-0.00659
827.0000	-0.00657
826.0000	-0.00661
825.0000	-0.00668
824.0000	-0.00663
823.0000	-0.00653
822.0000	-0.0067
821.0000	-0.00677
820.0000	-0.00698
819.0000	-0.00677
818.0000	-0.00667
817.0000	-0.00646
816.0000	-0.00656
815.0000	-0.00659
814.0000	-0.00677
813.0000	-0.00673
812.0000	-0.00685
811.0000	-0.00683
810.0000	-0.00698
809.0000	-0.0069
808.0000	-0.00691
807.0000	-0.00679
806.0000	-0.00687
805.0000	-0.00693
804.0000	-0.007
803.0000	-0.007
802.0000	-0.00704
801.0000	-0.00701
800.0000	-0.00685
799.0000	-0.00669
798.0000	-0.00669
797.0000	-0.00674
796.0000	-0.00695
795.0000	-0.00698
794.0000	-0.00703
793.0000	-0.00698
792.0000	-0.00692
791.0000	-0.00687
790.0000	-0.00675
789.0000	-0.00684
788.0000	-0.00691
787.0000	-0.00708
786.0000	-0.00699
785.0000	-0.00699
784.0000	-0.00696
783.0000	-0.00701
782.0000	-0.0069
781.0000	-0.00687
780.0000	-0.0068
779.0000	-0.0069
778.0000	-0.00691
777.0000	-0.00695
776.0000	-0.00693
775.0000	-0.00683
774.0000	-0.0069
773.0000	-0.00689
772.0000	-0.00692
771.0000	-0.00695
770.0000	-0.00699
769.0000	-0.00694
768.0000	-0.00695
767.0000	-0.00687
766.0000	-0.00687
765.0000	-0.00681
764.0000	-0.00677
763.0000	-0.00679
762.0000	-0.0068
761.0000	-0.00685
760.0000	-0.00679
759.0000	-0.00677
758.0000	-0.00671
757.0000	-0.00671
756.0000	-0.00673
755.0000	-0.0067
754.0000	-0.00669
753.0000	-0.00662
752.0000	-0.00658
751.0000	-0.00659
750.0000	-0.00654
749.0000	-0.00647
748.0000	-0.00654
747.0000	-0.00653
746.0000	-0.00648
745.0000	-0.00653
744.0000	-0.00647
743.0000	-0.00638
742.0000	-0.00633
741.0000	-0.0063
740.0000	-0.00608
739.0000	-0.00596
738.0000	-0.00592
737.0000	-0.00582
736.0000	-0.00571
735.0000	-0.00551
734.0000	-0.00542
733.0000	-0.00528
732.0000	-0.00519
731.0000	-0.00504
730.0000	-0.00487
729.0000	-0.00469
728.0000	-0.00448
727.0000	-0.00421
726.0000	-0.00396
725.0000	-0.00374
724.0000	-0.00343
723.0000	-0.00316
722.0000	-0.00281
721.0000	-0.00244
720.0000	-0.00196
719.0000	-0.00144
718.0000	-9E-04
717.0000	-3.6E-04
716.0000	3.2E-04
715.0000	0.00104
714.0000	0.00192
713.0000	0.00279
712.0000	0.00386
711.0000	0.00493
710.0000	0.00619
709.0000	0.00763
708.0000	0.00923
707.0000	0.01107
706.0000	0.01311
705.0000	0.01536
704.0000	0.01792
703.0000	0.02079
702.0000	0.02401
701.0000	0.02761
700.0000	0.03161
699.0000	0.0361
698.0000	0.04114
697.0000	0.04668
696.0000	0.05277
695.0000	0.05955
694.0000	0.06715
693.0000	0.07561
692.0000	0.08485
691.0000	0.09507
690.0000	0.10628
689.0000	0.11855
688.0000	0.13194
687.0000	0.14645
686.0000	0.1622
685.0000	0.17906
684.0000	0.19709
683.0000	0.21604
682.0000	0.23597
681.0000	0.25661
680.0000	0.2781
679.0000	0.29994
678.0000	0.32207
677.0000	0.34391
676.0000	0.36534
675.0000	0.38603
674.0000	0.40574
673.0000	0.42418
672.0000	0.4412
671.0000	0.45665
670.0000	0.47035
669.0000	0.48223
668.0000	0.49216
667.0000	0.50027
666.0000	0.50659
