TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	19/09/02
TIME	19:33:17
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-570, Rev. 1.00
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	840.0000
LASTX	190.0000
NPOINTS	651
FIRSTY	0.01004
MAXY	0.18687
MINY	0.00760
XYDATA
840.0000	0.01004
839.0000	0.00993
838.0000	0.00991
837.0000	0.00997
836.0000	0.01012
835.0000	0.01009
834.0000	0.0101
833.0000	0.01006
832.0000	0.01007
831.0000	0.00998
830.0000	0.00991
829.0000	0.00978
828.0000	0.0099
827.0000	0.0099
826.0000	0.00992
825.0000	0.00982
824.0000	0.00983
823.0000	0.00991
822.0000	0.00986
821.0000	0.00989
820.0000	0.00984
819.0000	0.00982
818.0000	0.00981
817.0000	0.00981
816.0000	0.00973
815.0000	0.00983
814.0000	0.00983
813.0000	0.00998
812.0000	0.00989
811.0000	0.00983
810.0000	0.00968
809.0000	0.00967
808.0000	0.00966
807.0000	0.00968
806.0000	0.00969
805.0000	0.00959
804.0000	0.00959
803.0000	0.00954
802.0000	0.00957
801.0000	0.00945
800.0000	0.00948
799.0000	0.00937
798.0000	0.00935
797.0000	0.00931
796.0000	0.00932
795.0000	0.00931
794.0000	0.00932
793.0000	0.00931
792.0000	0.00931
791.0000	0.00936
790.0000	0.00927
789.0000	0.00925
788.0000	0.00908
787.0000	0.00905
786.0000	0.00893
785.0000	0.00898
784.0000	0.009
783.0000	0.00891
782.0000	0.00899
781.0000	0.00895
780.0000	0.00891
779.0000	0.00893
778.0000	0.00895
777.0000	0.00901
776.0000	0.00901
775.0000	0.00892
774.0000	0.00878
773.0000	0.00872
772.0000	0.00865
771.0000	0.00873
770.0000	0.00867
769.0000	0.00873
768.0000	0.00865
767.0000	0.00869
766.0000	0.00859
765.0000	0.00844
764.0000	0.00841
763.0000	0.0084
762.0000	0.00849
761.0000	0.00852
760.0000	0.00848
759.0000	0.00833
758.0000	0.00828
757.0000	0.00824
756.0000	0.00831
755.0000	0.00825
754.0000	0.00821
753.0000	0.00819
752.0000	0.00821
751.0000	0.0082
750.0000	0.00811
749.0000	0.00805
748.0000	0.00804
747.0000	0.00806
746.0000	0.00809
745.0000	0.00808
744.0000	0.00801
743.0000	0.00798
742.0000	0.00801
741.0000	0.00796
740.0000	0.00777
739.0000	0.0077
738.0000	0.0076
737.0000	0.00769
736.0000	0.00767
735.0000	0.00771
734.0000	0.00766
733.0000	0.00766
732.0000	0.00775
731.0000	0.00784
730.0000	0.0079
729.0000	0.00787
728.0000	0.00782
727.0000	0.0078
726.0000	0.00784
725.0000	0.00789
724.0000	0.00796
723.0000	0.00799
722.0000	0.00807
721.0000	0.00806
720.0000	0.00813
719.0000	0.00823
718.0000	0.00826
717.0000	0.00839
716.0000	0.00847
715.0000	0.00869
714.0000	0.00884
713.0000	0.009
712.0000	0.00916
711.0000	0.00939
710.0000	0.00964
709.0000	0.00996
708.0000	0.01032
707.0000	0.01062
706.0000	0.01104
705.0000	0.01147
704.0000	0.01204
703.0000	0.01262
702.0000	0.01324
701.0000	0.01401
700.0000	0.01482
699.0000	0.01566
698.0000	0.01665
697.0000	0.01784
696.0000	0.01915
695.0000	0.0206
694.0000	0.02205
693.0000	0.02374
692.0000	0.02561
691.0000	0.02772
690.0000	0.03
689.0000	0.03249
688.0000	0.0352
687.0000	0.03815
686.0000	0.04138
685.0000	0.04482
684.0000	0.0485
683.0000	0.05243
682.0000	0.05655
681.0000	0.06079
680.0000	0.06523
679.0000	0.06983
678.0000	0.07446
677.0000	0.07915
676.0000	0.08377
675.0000	0.08829
674.0000	0.09281
673.0000	0.09714
672.0000	0.1013
671.0000	0.10528
670.0000	0.10901
669.0000	0.11255
668.0000	0.11586
667.0000	0.11892
666.0000	0.12168
665.0000	0.1242
664.0000	0.12653
663.0000	0.12866
662.0000	0.13058
661.0000	0.13233
660.0000	0.13381
659.0000	0.13501
658.0000	0.13601
657.0000	0.13685
656.0000	0.13744
655.0000	0.13783
654.0000	0.13803
653.0000	0.13796
