TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	19/08/31
TIME	14:53:59
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-570, Rev. 1.00
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	840.0000
LASTX	190.0000
NPOINTS	651
FIRSTY	0.04234
MAXY	0.86713
MINY	0.04234
XYDATA
840.0000	0.04234
839.0000	0.04243
838.0000	0.04239
837.0000	0.04241
836.0000	0.04239
835.0000	0.04246
834.0000	0.04237
833.0000	0.04244
832.0000	0.04257
831.0000	0.04278
830.0000	0.04287
829.0000	0.04293
828.0000	0.04304
827.0000	0.04313
826.0000	0.04319
825.0000	0.04323
824.0000	0.0433
823.0000	0.04339
822.0000	0.04341
821.0000	0.04353
820.0000	0.04357
819.0000	0.04354
818.0000	0.04369
817.0000	0.04378
816.0000	0.04401
815.0000	0.04414
814.0000	0.04424
813.0000	0.04423
812.0000	0.04432
811.0000	0.04444
810.0000	0.04447
809.0000	0.04461
808.0000	0.04474
807.0000	0.0449
806.0000	0.04511
805.0000	0.04517
804.0000	0.04522
803.0000	0.04531
802.0000	0.04537
801.0000	0.0455
800.0000	0.04559
799.0000	0.04565
798.0000	0.04579
797.0000	0.04589
796.0000	0.04588
795.0000	0.04577
794.0000	0.04584
793.0000	0.04592
792.0000	0.04601
791.0000	0.04609
790.0000	0.04608
789.0000	0.04618
788.0000	0.04623
787.0000	0.04637
786.0000	0.04636
785.0000	0.04652
784.0000	0.04659
783.0000	0.0466
782.0000	0.04672
781.0000	0.04678
780.0000	0.0469
779.0000	0.0469
778.0000	0.04688
777.0000	0.04689
776.0000	0.04687
775.0000	0.04692
774.0000	0.04687
773.0000	0.04686
772.0000	0.04696
771.0000	0.04692
770.0000	0.04695
769.0000	0.04687
768.0000	0.04685
767.0000	0.04694
766.0000	0.04691
765.0000	0.047
764.0000	0.04692
763.0000	0.04709
762.0000	0.04723
761.0000	0.04732
760.0000	0.04735
759.0000	0.04724
758.0000	0.04724
757.0000	0.04726
756.0000	0.04737
755.0000	0.04739
754.0000	0.0474
753.0000	0.04749
752.0000	0.04757
751.0000	0.04772
750.0000	0.04775
749.0000	0.04785
748.0000	0.04786
747.0000	0.04808
746.0000	0.04811
745.0000	0.04812
744.0000	0.04823
743.0000	0.04835
742.0000	0.04863
741.0000	0.04878
740.0000	0.04888
739.0000	0.04891
738.0000	0.04916
737.0000	0.04937
736.0000	0.04964
735.0000	0.04985
734.0000	0.05004
733.0000	0.05032
732.0000	0.05059
731.0000	0.05092
730.0000	0.05121
729.0000	0.05151
728.0000	0.05192
727.0000	0.05232
726.0000	0.05277
725.0000	0.05316
724.0000	0.05375
723.0000	0.05435
722.0000	0.05505
721.0000	0.05579
720.0000	0.05655
719.0000	0.05744
718.0000	0.05838
717.0000	0.05941
716.0000	0.06054
715.0000	0.06196
714.0000	0.06344
713.0000	0.06505
712.0000	0.0668
711.0000	0.06872
710.0000	0.07094
709.0000	0.07337
708.0000	0.07617
707.0000	0.07923
706.0000	0.08269
705.0000	0.0865
704.0000	0.09087
703.0000	0.09578
702.0000	0.10123
701.0000	0.10731
700.0000	0.1141
699.0000	0.12171
698.0000	0.13008
697.0000	0.13943
696.0000	0.14982
695.0000	0.16132
694.0000	0.17408
693.0000	0.18807
692.0000	0.20355
691.0000	0.22047
690.0000	0.239
689.0000	0.25922
688.0000	0.2812
687.0000	0.30511
686.0000	0.33077
685.0000	0.35833
684.0000	0.38759
683.0000	0.41837
682.0000	0.45056
681.0000	0.48388
680.0000	0.51834
679.0000	0.55329
678.0000	0.58817
677.0000	0.62248
676.0000	0.65582
675.0000	0.68779
674.0000	0.71793
673.0000	0.74589
672.0000	0.77122
671.0000	0.79375
670.0000	0.81329
669.0000	0.82975
668.0000	0.8431
667.0000	0.85326
666.0000	0.86047
665.0000	0.865
664.0000	0.86713
663.0000	0.867
662.0000	0.86499
661.0000	0.86122
660.0000	0.856
659.0000	0.84951
658.0000	0.84193
657.0000	0.83334
656.0000	0.82402
655.0000	0.81397
654.0000	0.80325
653.0000	0.79179
