TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	19/08/31
TIME	15:31:44
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-570, Rev. 1.00
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	840.0000
LASTX	190.0000
NPOINTS	651
FIRSTY	0.01515
MAXY	0.67505
MINY	0.01509
XYDATA
840.0000	0.01515
839.0000	0.01516
838.0000	0.01509
837.0000	0.01513
836.0000	0.01516
835.0000	0.01537
834.0000	0.01543
833.0000	0.01569
832.0000	0.01586
831.0000	0.01604
830.0000	0.01612
829.0000	0.01623
828.0000	0.01626
827.0000	0.0163
826.0000	0.01638
825.0000	0.01656
824.0000	0.01671
823.0000	0.01689
822.0000	0.01692
821.0000	0.01708
820.0000	0.01718
819.0000	0.01733
818.0000	0.01754
817.0000	0.01758
816.0000	0.0178
815.0000	0.01794
814.0000	0.01808
813.0000	0.0181
812.0000	0.01828
811.0000	0.01846
810.0000	0.01866
809.0000	0.01883
808.0000	0.01903
807.0000	0.01917
806.0000	0.01942
805.0000	0.01959
804.0000	0.01968
803.0000	0.0198
802.0000	0.01988
801.0000	0.02005
800.0000	0.02015
799.0000	0.02016
798.0000	0.02024
797.0000	0.02031
796.0000	0.0203
795.0000	0.02036
794.0000	0.02049
793.0000	0.02066
792.0000	0.02069
791.0000	0.02074
790.0000	0.02071
789.0000	0.02069
788.0000	0.02073
787.0000	0.02073
786.0000	0.02076
785.0000	0.02089
784.0000	0.02097
783.0000	0.02095
782.0000	0.02094
781.0000	0.02094
780.0000	0.02097
779.0000	0.02101
778.0000	0.02108
777.0000	0.02107
776.0000	0.02108
775.0000	0.02099
774.0000	0.02093
773.0000	0.02091
772.0000	0.02091
771.0000	0.02089
770.0000	0.02087
769.0000	0.02083
768.0000	0.02075
767.0000	0.0208
766.0000	0.02073
765.0000	0.0208
764.0000	0.02073
763.0000	0.02078
762.0000	0.02083
761.0000	0.02089
760.0000	0.02099
759.0000	0.02101
758.0000	0.02109
757.0000	0.02112
756.0000	0.02114
755.0000	0.02113
754.0000	0.02113
753.0000	0.02125
752.0000	0.0213
751.0000	0.02142
750.0000	0.02146
749.0000	0.0215
748.0000	0.02149
747.0000	0.02159
746.0000	0.0216
745.0000	0.02166
744.0000	0.02175
743.0000	0.02191
742.0000	0.02213
741.0000	0.02216
740.0000	0.02232
739.0000	0.02244
738.0000	0.02262
737.0000	0.02275
736.0000	0.0229
735.0000	0.02306
734.0000	0.02329
733.0000	0.02355
732.0000	0.02378
731.0000	0.02403
730.0000	0.02429
729.0000	0.02452
728.0000	0.0248
727.0000	0.02506
726.0000	0.02541
725.0000	0.02577
724.0000	0.02619
723.0000	0.02662
722.0000	0.02722
721.0000	0.02784
720.0000	0.02847
719.0000	0.02916
718.0000	0.02998
717.0000	0.03093
716.0000	0.03184
715.0000	0.03295
714.0000	0.03415
713.0000	0.03551
712.0000	0.03698
711.0000	0.03854
710.0000	0.04039
709.0000	0.0424
708.0000	0.04468
707.0000	0.04717
706.0000	0.04998
705.0000	0.0531
704.0000	0.05661
703.0000	0.06059
702.0000	0.06503
701.0000	0.06987
700.0000	0.07534
699.0000	0.08138
698.0000	0.08813
697.0000	0.09563
696.0000	0.10394
695.0000	0.11312
694.0000	0.12324
693.0000	0.13439
692.0000	0.14663
691.0000	0.16005
690.0000	0.17473
689.0000	0.19075
688.0000	0.20813
687.0000	0.22703
686.0000	0.24735
685.0000	0.26911
684.0000	0.2922
683.0000	0.31645
682.0000	0.34171
681.0000	0.368
680.0000	0.39514
679.0000	0.42263
678.0000	0.45002
677.0000	0.47688
676.0000	0.503
675.0000	0.52804
674.0000	0.55174
673.0000	0.57379
672.0000	0.59387
671.0000	0.61185
670.0000	0.62759
669.0000	0.64096
668.0000	0.65202
667.0000	0.66071
666.0000	0.66728
665.0000	0.67172
664.0000	0.67427
663.0000	0.67505
662.0000	0.67442
661.0000	0.67243
660.0000	0.66927
659.0000	0.66512
658.0000	0.66002
657.0000	0.65409
656.0000	0.64743
655.0000	0.64009
654.0000	0.63214
653.0000	0.62359
