TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	19/08/31
TIME	16:10:24
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-570, Rev. 1.00
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	840.0000
LASTX	190.0000
NPOINTS	651
FIRSTY	0.01117
MAXY	0.45682
MINY	0.01117
XYDATA
840.0000	0.01117
839.0000	0.0112
838.0000	0.01122
837.0000	0.01123
836.0000	0.01117
835.0000	0.01126
834.0000	0.01127
833.0000	0.01147
832.0000	0.01144
831.0000	0.01156
830.0000	0.01157
829.0000	0.01169
828.0000	0.01165
827.0000	0.01164
826.0000	0.01163
825.0000	0.01168
824.0000	0.01178
823.0000	0.0118
822.0000	0.01181
821.0000	0.01176
820.0000	0.01176
819.0000	0.01183
818.0000	0.01195
817.0000	0.01192
816.0000	0.01197
815.0000	0.01193
814.0000	0.012
813.0000	0.01194
812.0000	0.01211
811.0000	0.01216
810.0000	0.01217
809.0000	0.01216
808.0000	0.01222
807.0000	0.01235
806.0000	0.01244
805.0000	0.01253
804.0000	0.01255
803.0000	0.01254
802.0000	0.01258
801.0000	0.01268
800.0000	0.01278
799.0000	0.01278
798.0000	0.01274
797.0000	0.01273
796.0000	0.0127
795.0000	0.01269
794.0000	0.01273
793.0000	0.01285
792.0000	0.01288
791.0000	0.01301
790.0000	0.01295
789.0000	0.01296
788.0000	0.01289
787.0000	0.01299
786.0000	0.01301
785.0000	0.01317
784.0000	0.01325
783.0000	0.01327
782.0000	0.01333
781.0000	0.01331
780.0000	0.01341
779.0000	0.01347
778.0000	0.01355
777.0000	0.01356
776.0000	0.01353
775.0000	0.01352
774.0000	0.01357
773.0000	0.01366
772.0000	0.0137
771.0000	0.0137
770.0000	0.01365
769.0000	0.01362
768.0000	0.01361
767.0000	0.01378
766.0000	0.01389
765.0000	0.01396
764.0000	0.0139
763.0000	0.01394
762.0000	0.01399
761.0000	0.01403
760.0000	0.01416
759.0000	0.01412
758.0000	0.01417
757.0000	0.0142
756.0000	0.01432
755.0000	0.01427
754.0000	0.01433
753.0000	0.0144
752.0000	0.01444
751.0000	0.01457
750.0000	0.01458
749.0000	0.01465
748.0000	0.01459
747.0000	0.01468
746.0000	0.01463
745.0000	0.01467
744.0000	0.01472
743.0000	0.01484
742.0000	0.01492
741.0000	0.01488
740.0000	0.0149
739.0000	0.01491
738.0000	0.015
737.0000	0.01499
736.0000	0.01507
735.0000	0.01506
734.0000	0.01506
733.0000	0.01521
732.0000	0.01536
731.0000	0.01541
730.0000	0.01544
729.0000	0.01545
728.0000	0.01548
727.0000	0.01549
726.0000	0.01557
725.0000	0.01562
724.0000	0.01571
723.0000	0.01576
722.0000	0.01587
721.0000	0.01599
720.0000	0.01605
719.0000	0.01616
718.0000	0.01631
717.0000	0.0165
716.0000	0.01659
715.0000	0.01682
714.0000	0.01695
713.0000	0.01713
712.0000	0.01725
711.0000	0.01742
710.0000	0.01761
709.0000	0.01779
708.0000	0.01798
707.0000	0.01815
706.0000	0.01836
705.0000	0.0186
704.0000	0.01893
703.0000	0.01932
702.0000	0.01968
701.0000	0.02004
700.0000	0.02042
699.0000	0.0209
698.0000	0.02142
697.0000	0.022
696.0000	0.02258
695.0000	0.0232
694.0000	0.02392
693.0000	0.02464
692.0000	0.02547
691.0000	0.02633
690.0000	0.02732
689.0000	0.0284
688.0000	0.02955
687.0000	0.03083
686.0000	0.03218
685.0000	0.03376
684.0000	0.03547
683.0000	0.03727
682.0000	0.03908
681.0000	0.04103
680.0000	0.04306
679.0000	0.04521
678.0000	0.04732
677.0000	0.04944
676.0000	0.05152
675.0000	0.05357
674.0000	0.05557
673.0000	0.05752
672.0000	0.05946
671.0000	0.06135
670.0000	0.06313
669.0000	0.06486
668.0000	0.06649
667.0000	0.06805
666.0000	0.06949
665.0000	0.0709
664.0000	0.07223
663.0000	0.07342
662.0000	0.07457
661.0000	0.07563
660.0000	0.07663
659.0000	0.07751
658.0000	0.0783
657.0000	0.07893
656.0000	0.07947
655.0000	0.07992
654.0000	0.08026
653.0000	0.08052
